TIMESTAMP_MS,PLASMA_CURRENT_KA,FLUID_INDEX_PDI,THERMAL_INDEX_UFO,KINETIC_INDEX_VDE,TOPOLOGY_INDEX_TEAR,PINN_STATUS
200.00,840.12,0.820,1.012,0.995,1.002,NOMINAL
210.00,841.05,0.845,1.025,1.102,1.015,NOMINAL
220.00,839.90,0.890,1.105,1.350,1.040,NOMINAL
230.00,838.55,0.950,1.250,1.800,1.100,NOMINAL
240.00,835.20,1.050,1.400,2.450,1.250,NOMINAL
250.00,831.00,1.180,1.650,3.100,1.550,NOMINAL
260.00,824.50,1.290,1.900,3.950,1.850,NOMINAL
270.00,815.20,1.350,2.150,4.600,2.100,NOMINAL
280.00,802.10,1.420,2.350,4.850,2.350,NOMINAL
290.00,780.00,1.480,2.450,4.950,2.450,NOMINAL
300.00,740.50,1.515,2.480,4.980,2.480,NOMINAL
305.50,715.00,1.518,2.490,5.010,2.485,KINETIC_DEVIATION
310.20,690.20,1.520,2.495,5.035,2.505,TOPOLOGY_DEGRADATION
318.80,610.00,1.524,2.510,5.050,2.515,MITIGATION_PROTOCOL_TRIGGERED
330.00,450.00,1.580,2.800,5.800,2.900,CONTAINMENT_LOSS_UNAVOIDABLE
340.00,200.00,1.800,3.500,7.200,3.800,SCISSION_EVENT
350.00,000.00,NaN,NaN,NaN,NaN,THERMODYNAMIC_COLLAPSE
